0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.000000 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.016699 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.033394 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.050079 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.066750 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.083403 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.100032 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.116634 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.133203 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.149735 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.166225 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.182669 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.199061 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.215399 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.231676 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.247888 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.264032 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.280102 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.296093 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.312002 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.327825 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.343555 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.359190 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.374725 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.390155 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.405476 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.420685 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.435776 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.450745 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.465589 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.480303 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.494883 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.509325 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.523625 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.537779 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.551783 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.565633 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.579325 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.592856 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.606221 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.619417 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.632441 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.645288 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.657955 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.670439 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.682736 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.694842 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.706755 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.718470 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.729985 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.741297 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.752402 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.763297 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.773979 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.784445 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.794692 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.804718 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.814520 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.824094 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.833438 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.842550 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.851427 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.860067 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.868467 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.876624 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.884537 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.892204 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.899621 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.906788 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.913701 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.920360 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.926763 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.932906 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.938790 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.944412 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.949770 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.954864 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.959691 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.964251 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.968542 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.972562 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.976311 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.979788 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.982992 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.985922 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.988577 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.990956 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.993058 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.994884 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.996432 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.997703 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.998695 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.999409 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.999843 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 1.000000 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.999877 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.999475 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.998795 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.997836 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.996598 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.995083 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.993290 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.991221 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.988875 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.986253 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.983356 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.980184 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.976740 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.973023 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.969035 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.964776 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.960248 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.955453 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.950391 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.945064 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.939473 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.933621 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.927508 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.921136 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.914508 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.907624 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.900488 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.893100 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.885463 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.877580 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.869451 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.861080 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.852469 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.843620 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.834536 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.825219 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.815672 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.805897 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.795898 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.785677 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.775237 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.764580 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.753710 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.742630 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.731343 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.719852 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.708161 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.696271 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.684188 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.671914 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.659452 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.646806 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.633980 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.620978 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.607802 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.594456 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.580945 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.567272 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.553440 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.539454 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.525318 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.511036 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.496610 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.482046 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.467348 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.452520 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.437565 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.422488 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.407294 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.391985 1.000000 0.000000 | 
0.000000 0.000000 0.000000 | 1.000000 0.000000 0.000000 | 0.376568 1.000000 0.000000 | 
